StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.1 | 
System: eclipse.jdt.ui

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9517	2155	93	2347
12044	-1	-1	-1
13243	2902	2166	2107
13916	213	228	208
13921	-1	-1	-1
14837	4137	4204	4550
17317	-1	-1	-1
22655	-1	-1	-1
24082	296	570	92
24271	-1	-1	-1
27194	290	290	290
28277	4178	4904	8200
28698	3494	3494	3494
30412	2842	971	9776
31300	2	1	3
36427	47	41	18
38499	-1	-1	-1
41688	-1	-1	-1
42208	-1	-1	-1
43103	-1	-1	-1
45349	2133	2133	2133
46875	8911	7958	-1
47097	-1	-1	-1
47731	266	266	266
49352	-1	-1	-1
49619	-1	-1	-1
51093	147	149	25
51187	-1	-1	-1
52750	-1	-1	-1
52801	-1	-1	-1
53603	1427	126	1427
55349	7015	4150	6340
58098	-1	-1	-1
62878	-1	-1	-1
63400	-1	-1	-1
63675	-1	-1	-1
64108	-1	-1	6737
66646	4	4	3780
67274	322	333	1902
68586	701	749	2928
70005	-1	-1	-1
70079	4818	4818	4818
75843	1368	1315	721
77193	1159	1159	1159
79793	-1	228	1
80455	327	136	194
81172	110	110	843
82839	-1	-1	4413
84724	384	759	208
88195	3360	3775	3027
88397	847	144	16
91306	5049	5049	5308
99330	-1	-1	-1
100155	-1	-1	-1
108247	12	34	37
111653	1433	-1	197
113731	9575	-1	-1
120560	-1	-1	-1
121057	-1	-1	-1
124182	609	123	759
125013	1083	95	937
129354	-1	-1	-1
133731	1580	5050	852
141492	5	4	76
143171	-1	-1	-1
150249	-1	-1	-1
152142	606	706	2576
153044	11	22	21
153912	7	47	7
161282	2718	320	2132
165689	4322	4596	4673
167590	2	7	2
172388	9031	-1	9764
178744	4278	2007	2366
185043	4662	5561	-1
185113	123	133	217
186291	76	174	364
194175	32	32	2
195808	-1	-1	-1
201096	1	2	1
201718	-1	-1	-1
202129	118	124	120
215448	238	238	317
217126	218	189	317
224132	255	280	255
224183	-1	-1	-1
228506	16	22	13
228641	153	159	93
232773	2843	250	3288
233941	597	520	401
239695	127	25	151
239940	1338	-1	1307
243147	19	19	19
243284	-1	-1	-1
244431	1065	1320	910
246635	12	13	2
248659	1	1	1
249549	-1	-1	-1
251356	5472	7205	341
251824	-1	-1	-1
252415	4	15	67
252591	6726	1961	-1
252779	30	70	62
255448	47	51	335
255449	2	1	2
256087	5888	4583	-1
256574	-1	-1	-1
259093	-1	-1	-1
259413	22	1515	110
261100	352	258	6
261198	4058	2999	7132
262389	6397	1864	8771
262511	-1	-1	-1
262877	127	23	38
263751	9563	1324	5412
263935	-1	-1	1505
264504	244	354	1840
264999	3	3	3
266646	19	16	25
266831	-1	-1	-1
267358	71	42	6
267554	33	677	46
267616	8816	23	-1
267776	1216	188	4921
271139	135	149	4360
272366	155	153	172
272567	590	625	692
274364	-1	-1	-1
275308	3452	332	2991
278201	2926	2209	1527
279124	9784	8270	2220
279981	4686	4688	9725
283697	-1	-1	-1
285852	34	18	35
286221	-1	-1	-1
286406	181	22	-1
287049	557	493	427
287078	7496	-1	7025
288121	1423	1395	7
289992	-1	-1	-1
290913	56	18	69
294322	-1	-1	-1
294763	1636	1645	1636
296229	142	24	122
296781	20	16	14
296782	2	75	2
297280	-1	-1	2218
297593	138	93	6724
297663	35	1	1835
297709	-1	-1	-1
298066	8085	7234	8590
298520	4630	5032	4397
299127	5148	4279	-1
300901	40	39	41
301242	-1	-1	-1
303313	-1	7191	-1
303705	12	20	104
304174	292	573	250
304792	69	27	240
304927	64	83	526
305255	5	2	4
306392	228	148	351
306646	86	96	310
306970	1	1	1
308978	4	3	5
309977	169	478	319
311603	103	103	44
314354	-1	-1	-1
316155	1389	1114	-1
317497	7583	2127	951
318388	49	35	36
320916	3991	3991	2405
320983	1771	1858	-1
321385	4	4	4
321608	203	203	311
329248	284	855	1353
330057	12	2	15
331028	200	1617	13
331115	-1	-1	-1
333541	-1	-1	-1
333631	-1	-1	-1
334864	33	3	691
335132	325	370	190
335249	312	1572	666
338089	-1	-1	-1
338638	1888	-1	1685
338673	110	8	463
339000	1	1	1
340338	987	875	301
341109	2440	178	2639
342410	2986	268	304
342858	3083	2404	-1
352785	157	52	422
354766	-1	-1	-1
358823	-1	-1	-1
362404	62	83	11
364539	1182	1178	2248
369319	-1	-1	-1
370952	2701	1231	8984
372973	183	17	115
374920	22	22	2
377318	2	1	2
378068	184	169	276
383491	379	130	360
387536	15	19	207
388342	163	379	28
390546	396	6659	41
391389	132	362	162
393932	-1	-1	-1
394296	-1	-1	-1
395919	5740	1681	5353
396823	16	16	14
397842	29	29	26
398648	-1	-1	-1
401418	236	236	236
408072	9320	6581	-1
411641	1456	961	1218
416016	1986	83	2430
416401	14	71	11
416998	1	1	2
419692	131	309	104
421383	-1	1327	-1
421506	-1	5084	-1
422506	300	170	33
422792	1847	1847	1847
425109	51	55	27
427227	1	1	1
432125	770	770	405
432781	890	940	6
434269	160	887	46
434791	3902	-1	-1
437398	9531	-1	8223
437847	756	533	2227
440930	147	222	186
442614	3063	2120	-1
443410	7353	7545	7528
460799	6032	1049	5188
462948	2437	2250	5372
465521	5293	3523	5328
466252	2	1	4
491756	40	532	86
492173	-1	-1	-1
