StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.2 | 
System: eclipse.jdt.ui

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9517	2155	109	1895
12044	-1	-1	-1
13243	2902	2333	1975
13916	213	228	208
13921	-1	-1	-1
14837	4137	4611	3453
17317	-1	-1	-1
22655	-1	-1	-1
24082	296	343	319
24271	-1	-1	-1
27194	290	290	290
28277	4178	3953	9389
28698	3494	3494	3494
30412	2842	824	8975
31300	2	1	2
36427	47	38	18
38499	-1	-1	-1
41688	-1	-1	-1
42208	-1	-1	-1
43103	-1	-1	-1
45349	2133	2133	2133
46875	8911	7188	-1
47097	-1	-1	-1
47731	266	266	266
49352	-1	-1	-1
49619	-1	-1	-1
51093	147	145	9457
51187	-1	-1	-1
52750	-1	-1	-1
52801	-1	-1	-1
53603	1427	126	1427
55349	7015	842	7015
58098	-1	-1	-1
62878	-1	-1	-1
63400	-1	-1	-1
63675	-1	-1	-1
64108	-1	6547	-1
66646	4	4	27
67274	322	273	1907
68586	701	660	2836
70005	-1	-1	-1
70079	4818	4818	4818
75843	1368	4092	2150
77193	1159	1159	1159
79793	-1	468	1
80455	327	137	173
81172	110	109	843
82839	-1	-1	-1
84724	384	28	382
88195	3360	3685	211
88397	847	144	16
91306	5049	6150	720
99330	-1	-1	-1
100155	-1	-1	-1
108247	12	31	37
111653	1433	-1	104
113731	9575	-1	-1
120560	-1	-1	-1
121057	-1	-1	-1
124182	609	137	668
125013	1083	95	1000
129354	-1	-1	-1
133731	1580	1620	944
141492	5	5	5
143171	-1	-1	-1
150249	-1	-1	-1
152142	606	314	2002
153044	11	23	20
153912	7	57	7
161282	2718	376	2247
165689	4322	4627	4673
167590	2	1	8
172388	9031	-1	9764
178744	4278	2738	703
185043	4662	-1	4314
185113	123	153	283
186291	76	157	989
194175	32	32	5
195808	-1	-1	-1
201096	1	5	1
201718	-1	-1	-1
202129	118	124	120
215448	238	238	317
217126	218	229	318
224132	255	255	255
224183	-1	-1	-1
228506	16	18	58
228641	153	153	136
232773	2843	304	2762
233941	597	13	687
239695	127	24	165
239940	1338	-1	1330
243147	19	19	19
243284	-1	-1	-1
244431	1065	1638	1091
246635	12	26	7
248659	1	1	1
249549	-1	-1	-1
251356	5472	254	2144
251824	-1	-1	-1
252415	4	33	81
252591	6726	-1	8581
252779	30	21	62
255448	47	51	54
255449	2	1	2
256087	5888	3741	-1
256574	-1	-1	-1
259093	-1	-1	-1
259413	22	9	1333
261100	352	22	6
261198	4058	8766	3243
262389	6397	2188	473
262511	-1	-1	-1
262877	127	21	68
263751	9563	1324	-1
263935	-1	-1	5651
264504	244	354	1638
264999	3	3	5
266646	19	16	20
266831	-1	-1	-1
267358	71	16	24
267554	33	4056	49
267616	8816	335	-1
267776	1216	675	1279
271139	135	179	4366
272366	155	210	191
272567	590	590	722
274364	-1	-1	-1
275308	3452	397	5310
278201	2926	2568	2618
279124	9784	9611	2023
279981	4686	4570	8021
283697	-1	-1	-1
285852	34	14	26
286221	-1	-1	-1
286406	181	22	-1
287049	557	493	496
287078	7496	-1	6359
288121	1423	677	77
289992	-1	-1	-1
290913	56	56	69
294322	-1	-1	-1
294763	1636	1645	1636
296229	142	1266	122
296781	20	16	14
296782	2	72	2
297280	-1	-1	2135
297593	138	93	2244
297663	35	2	56
297709	-1	-1	-1
298066	8085	8167	9892
298520	4630	4169	4630
299127	5148	3072	-1
300901	40	40	39
301242	-1	-1	-1
303313	-1	6386	-1
303705	12	4	63
304174	292	295	250
304792	69	14	233
304927	64	83	671
305255	5	2	4
306392	228	164	294
306646	86	122	310
306970	1	1	1
308978	4	3	3
309977	169	468	166
311603	103	68	261
314354	-1	-1	-1
316155	1389	-1	-1
317497	7583	2166	4321
318388	49	27	95
320916	3991	3991	3428
320983	1771	1979	-1
321385	4	4	4
321608	203	203	321
329248	284	218	88
330057	12	20	15
331028	200	-1	16
331115	-1	-1	-1
333541	-1	-1	-1
333631	-1	987	9247
334864	33	3	656
335132	325	370	1501
335249	312	1572	640
338089	-1	-1	-1
338638	1888	-1	1825
338673	110	8	793
339000	1	1	1
340338	987	41	301
341109	2440	214	1267
342410	2986	1	283
342858	3083	1587	-1
352785	157	51	157
354766	-1	-1	-1
358823	-1	-1	-1
362404	62	59	13
364539	1182	1178	2486
369319	-1	-1	-1
370952	2701	1231	9042
372973	183	183	106
374920	22	8	3
377318	2	1	4
378068	184	174	338
383491	379	130	879
387536	15	17	244
388342	163	135	15
390546	396	6682	19
391389	132	55	132
393932	-1	-1	-1
394296	-1	-1	-1
395919	5740	1681	5098
396823	16	22	16
397842	29	17	25
398648	-1	-1	-1
401418	236	236	236
408072	9320	-1	9302
411641	1456	1025	1208
416016	1986	1570	2430
416401	14	65	9
416998	1	1	2
419692	131	131	113
421383	-1	1159	-1
421506	-1	7826	3223
422506	300	292	70
422792	1847	1847	1847
425109	51	40	42
427227	1	1	1
432125	770	950	696
432781	890	807	6
434269	160	1044	161
434791	3902	9602	-1
437398	9531	9624	-1
437847	756	335	4024
440930	147	222	77
442614	3063	1352	9539
443410	7353	7058	8506
460799	6032	859	4675
462948	2437	2250	8345
465521	5293	-1	5328
466252	2	1	8
491756	40	532	42
492173	-1	-1	-1
