StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.4 | 
System: eclipse.jdt.ui

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9517	2155	117	1444
12044	-1	-1	-1
13243	2902	1586	1802
13916	213	213	222
13921	-1	-1	-1
14837	4137	4363	-1
17317	-1	-1	-1
22655	-1	-1	-1
24082	296	443	269
24271	-1	-1	-1
27194	290	290	290
28277	4178	4171	7335
28698	3494	3494	3494
30412	2842	8803	2842
31300	2	2	2
36427	47	41	23
38499	-1	-1	-1
41688	-1	-1	-1
42208	-1	-1	-1
43103	-1	-1	-1
45349	2133	2133	2133
46875	8911	7944	-1
47097	-1	-1	-1
47731	266	266	266
49352	-1	-1	-1
49619	-1	-1	-1
51093	147	135	-1
51187	-1	-1	-1
52750	-1	-1	-1
52801	-1	-1	-1
53603	1427	150	115
55349	7015	842	7059
58098	-1	4404	-1
62878	-1	-1	-1
63400	-1	-1	-1
63675	-1	-1	-1
64108	-1	6656	-1
66646	4	4	8
67274	322	289	1907
68586	701	676	941
70005	-1	-1	-1
70079	4818	4818	4818
75843	1368	4310	2830
77193	1159	1159	1159
79793	-1	8039	1
80455	327	142	306
81172	110	110	869
82839	-1	-1	4930
84724	384	1	26
88195	3360	3590	3389
88397	847	131	45
91306	5049	6150	456
99330	-1	-1	-1
100155	-1	-1	-1
108247	12	31	37
111653	1433	2083	173
113731	9575	-1	9573
120560	-1	-1	-1
121057	-1	-1	-1
124182	609	9	2748
125013	1083	47	1030
129354	-1	-1	-1
133731	1580	1777	1907
141492	5	5	1
143171	-1	-1	-1
150249	-1	-1	-1
152142	606	836	1115
153044	11	22	21
153912	7	58	13
161282	2718	2073	2154
165689	4322	4627	-1
167590	2	40	3
172388	9031	-1	9336
178744	4278	-1	2362
185043	4662	-1	3963
185113	123	147	94
186291	76	220	278
194175	32	259	4
195808	-1	-1	-1
201096	1	1	7
201718	-1	-1	-1
202129	118	135	64
215448	238	238	261
217126	218	195	303
224132	255	255	255
224183	-1	-1	-1
228506	16	15	235
228641	153	62	153
232773	2843	339	2516
233941	597	12	556
239695	127	119	128
239940	1338	-1	1353
243147	19	19	19
243284	-1	-1	-1
244431	1065	1180	7743
246635	12	65	7
248659	1	1	1
249549	-1	-1	-1
251356	5472	6316	5432
251824	-1	-1	-1
252415	4	6	208
252591	6726	9587	6726
252779	30	21	26
255448	47	51	111
255449	2	1	2
256087	5888	4688	6519
256574	-1	-1	-1
259093	-1	-1	-1
259413	22	15	584
261100	352	25	6
261198	4058	8754	3211
262389	6397	2342	1547
262511	-1	-1	-1
262877	127	16	168
263751	9563	1324	7088
263935	-1	6208	-1
264504	244	354	817
264999	3	3	3
266646	19	16	20
266831	-1	-1	-1
267358	71	70	16
267554	33	240	30
267616	8816	8427	747
267776	1216	1681	775
271139	135	-1	112
272366	155	196	231
272567	590	590	694
274364	-1	-1	-1
275308	3452	463	4438
278201	2926	1948	2980
279124	9784	-1	9783
279981	4686	4686	9045
283697	-1	-1	-1
285852	34	18	34
286221	-1	-1	-1
286406	181	144	-1
287049	557	527	420
287078	7496	-1	6359
288121	1423	1354	77
289992	-1	-1	-1
290913	56	18	69
294322	-1	-1	-1
294763	1636	1636	1797
296229	142	1948	117
296781	20	16	14
296782	2	2	2
297280	-1	2411	4634
297593	138	176	1796
297663	35	14	56
297709	-1	-1	-1
298066	8085	1648	-1
298520	4630	4169	4550
299127	5148	3339	4560
300901	40	42	46
301242	-1	-1	-1
303313	-1	-1	7032
303705	12	347	36
304174	292	293	260
304792	69	14	168
304927	64	96	277
305255	5	10	64
306392	228	149	298
306646	86	86	442
306970	1	1	1
308978	4	4	3
309977	169	264	140
311603	103	68	123
314354	-1	-1	-1
316155	1389	1285	641
317497	7583	3523	9836
318388	49	14	95
320916	3991	3765	2964
320983	1771	1771	8457
321385	4	11	4
321608	203	253	321
329248	284	1020	141
330057	12	12	41
331028	200	-1	383
331115	-1	-1	-1
333541	-1	-1	-1
333631	-1	-1	9247
334864	33	3	718
335132	325	281	365
335249	312	2355	414
338089	-1	-1	-1
338638	1888	1514	1957
338673	110	495	76
339000	1	1	1
340338	987	226	186
341109	2440	348	2452
342410	2986	22	171
342858	3083	2072	2620
352785	157	129	284
354766	-1	-1	-1
358823	-1	-1	-1
362404	62	56	34
364539	1182	1182	2486
369319	-1	-1	-1
370952	2701	1279	2311
372973	183	17	124
374920	22	17	22
377318	2	3	484
378068	184	210	169
383491	379	75	6397
387536	15	11	198
388342	163	208	366
390546	396	607	142
391389	132	2591	368
393932	-1	-1	-1
394296	-1	-1	-1
395919	5740	5484	3090
396823	16	15	18
397842	29	25	25
398648	-1	-1	-1
401418	236	236	236
408072	9320	5806	9139
411641	1456	1089	1421
416016	1986	2296	2802
416401	14	115	11
416998	1	2	2
419692	131	14	252
421383	-1	1159	-1
421506	-1	8043	2928
422506	300	498	417
422792	1847	1847	1847
425109	51	48	42
427227	1	1	1
432125	770	748	561
432781	890	7	491
434269	160	46	162
434791	3902	6094	-1
437398	9531	9424	-1
437847	756	529	2288
440930	147	377	274
442614	3063	3350	9678
443410	7353	7959	9839
460799	6032	539	5645
462948	2437	1017	-1
465521	5293	-1	8382
466252	2	2	8
491756	40	504	92
492173	-1	-1	-1
