StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.05 | 
System: eclipse.jdt.ui

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9517	2155	90	2654
12044	-1	-1	-1
13243	2902	2384	2333
13916	213	213	15
13921	-1	-1	-1
14837	4137	4137	4783
17317	-1	-1	-1
22655	-1	-1	-1
24082	296	570	92
24271	-1	-1	-1
27194	290	290	290
28277	4178	3931	8200
28698	3494	3494	3494
30412	2842	769	-1
31300	2	1	3
36427	47	41	18
38499	-1	-1	-1
41688	-1	-1	-1
42208	-1	-1	-1
43103	-1	-1	-1
45349	2133	2133	2133
46875	8911	7891	-1
47097	-1	-1	-1
47731	266	266	266
49352	-1	-1	-1
49619	-1	-1	-1
51093	147	127	147
51187	-1	-1	-1
52750	-1	-1	-1
52801	-1	-1	-1
53603	1427	126	115
55349	7015	4025	1012
58098	-1	-1	-1
62878	-1	-1	-1
63400	-1	-1	-1
63675	-1	-1	-1
64108	-1	-1	-1
66646	4	4	3780
67274	322	329	1026
68586	701	546	2278
70005	-1	-1	-1
70079	4818	4818	4818
75843	1368	1061	911
77193	1159	1159	1159
79793	-1	4947	1
80455	327	46	173
81172	110	110	843
82839	-1	-1	4312
84724	384	112	379
88195	3360	3453	3019
88397	847	27	45
91306	5049	5049	720
99330	-1	-1	-1
100155	-1	-1	-1
108247	12	34	37
111653	1433	-1	166
113731	9575	-1	-1
120560	-1	-1	-1
121057	-1	-1	-1
124182	609	566	800
125013	1083	95	1093
129354	-1	-1	-1
133731	1580	5050	852
141492	5	4	76
143171	-1	-1	-1
150249	-1	-1	-1
152142	606	223	2913
153044	11	22	21
153912	7	627	5
161282	2718	283	1868
165689	4322	4596	4673
167590	2	1	2
172388	9031	-1	-1
178744	4278	2007	2366
185043	4662	7237	-1
185113	123	133	217
186291	76	174	364
194175	32	32	4
195808	-1	-1	-1
201096	1	2	1
201718	-1	-1	-1
202129	118	24	120
215448	238	238	238
217126	218	189	317
224132	255	280	255
224183	-1	-1	-1
228506	16	24	52
228641	153	176	127
232773	2843	147	1684
233941	597	520	1267
239695	127	26	151
239940	1338	-1	1307
243147	19	19	19
243284	-1	-1	-1
244431	1065	1094	847
246635	12	13	2
248659	1	5	1
249549	-1	-1	-1
251356	5472	7205	508
251824	-1	-1	-1
252415	4	4	7
252591	6726	-1	7790
252779	30	70	61
255448	47	51	99
255449	2	1	2
256087	5888	4254	-1
256574	-1	-1	-1
259093	-1	-1	-1
259413	22	109	110
261100	352	12	6
261198	4058	1533	8614
262389	6397	1864	8771
262511	-1	-1	-1
262877	127	23	38
263751	9563	1324	5412
263935	-1	-1	5507
264504	244	610	606
264999	3	3	3
266646	19	16	25
266831	-1	-1	-1
267358	71	176	6
267554	33	677	53
267616	8816	23	-1
267776	1216	188	1119
271139	135	121	2689
272366	155	251	172
272567	590	590	576
274364	-1	-1	-1
275308	3452	292	2991
278201	2926	2209	-1
279124	9784	-1	2220
279981	4686	4688	9698
283697	-1	-1	-1
285852	34	18	35
286221	-1	-1	-1
286406	181	22	-1
287049	557	493	427
287078	7496	-1	7405
288121	1423	1396	7
289992	-1	-1	-1
290913	56	56	70
294322	-1	-1	-1
294763	1636	1645	1317
296229	142	24	122
296781	20	16	14
296782	2	68	11
297280	-1	-1	2224
297593	138	93	2020
297663	35	1	1835
297709	-1	-1	-1
298066	8085	8638	8434
298520	4630	4752	4397
299127	5148	3657	-1
300901	40	42	40
301242	-1	-1	-1
303313	-1	-1	-1
303705	12	20	122
304174	292	241	250
304792	69	14	166
304927	64	69	526
305255	5	1	4
306392	228	125	298
306646	86	96	-1
306970	1	1	1
308978	4	3	5
309977	169	478	286
311603	103	103	265
314354	-1	-1	-1
316155	1389	1114	-1
317497	7583	1420	796
318388	49	35	67
320916	3991	4192	3653
320983	1771	1686	-1
321385	4	11	4
321608	203	203	311
329248	284	1085	235
330057	12	2	15
331028	200	-1	14
331115	-1	-1	-1
333541	-1	-1	-1
333631	-1	-1	-1
334864	33	3	656
335132	325	370	190
335249	312	1572	666
338089	-1	-1	-1
338638	1888	-1	1645
338673	110	8	463
339000	1	1	1
340338	987	1703	317
341109	2440	178	2639
342410	2986	106	304
342858	3083	1476	-1
352785	157	50	381
354766	-1	-1	-1
358823	-1	-1	-1
362404	62	83	11
364539	1182	1030	2248
369319	-1	-1	-1
370952	2701	1231	8759
372973	183	116	154
374920	22	22	2
377318	2	1	2
378068	184	169	293
383491	379	121	720
387536	15	19	120
388342	163	391	15
390546	396	6682	41
391389	132	323	1490
393932	-1	-1	-1
394296	-1	-1	-1
395919	5740	1681	5353
396823	16	17	14
397842	29	29	26
398648	-1	-1	-1
401418	236	236	236
408072	9320	6581	-1
411641	1456	987	-1
416016	1986	1244	2187
416401	14	95	11
416998	1	1	2
419692	131	309	121
421383	-1	1120	-1
421506	-1	2524	-1
422506	300	258	120
422792	1847	1847	1847
425109	51	18	26
427227	1	1	1
432125	770	770	265
432781	890	937	322
434269	160	887	38
434791	3902	9840	-1
437398	9531	9640	9214
437847	756	529	2227
440930	147	229	139
442614	3063	2379	-1
443410	7353	7545	9876
460799	6032	4509	4952
462948	2437	2250	5372
465521	5293	-1	2617
466252	2	1	4
491756	40	2052	259
492173	-1	-1	-1
