StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.35 | 
System: eclipse.jdt.ui

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9517	2155	90	2215
12044	-1	-1	-1
13243	2902	2902	1802
13916	213	213	15
13921	-1	-1	-1
14837	4137	4363	3353
17317	-1	-1	-1
22655	-1	-1	-1
24082	296	462	269
24271	-1	-1	-1
27194	290	290	290
28277	4178	4171	7335
28698	3494	3494	3494
30412	2842	-1	2534
31300	2	1	2
36427	47	38	31
38499	-1	-1	-1
41688	-1	-1	-1
42208	-1	-1	-1
43103	-1	-1	-1
45349	2133	2133	2133
46875	8911	7494	-1
47097	-1	-1	-1
47731	266	266	266
49352	-1	-1	-1
49619	-1	-1	-1
51093	147	136	145
51187	-1	-1	-1
52750	-1	-1	-1
52801	-1	-1	-1
53603	1427	150	1427
55349	7015	842	7015
58098	-1	5273	-1
62878	-1	-1	-1
63400	-1	-1	-1
63675	-1	-1	-1
64108	-1	6656	9073
66646	4	4	25
67274	322	95	1907
68586	701	676	941
70005	-1	2519	-1
70079	4818	4818	4818
75843	1368	4013	2727
77193	1159	1159	1159
79793	-1	8861	1
80455	327	137	306
81172	110	110	869
82839	-1	-1	4930
84724	384	8	1327
88195	3360	3775	2587
88397	847	194	45
91306	5049	6251	4475
99330	-1	-1	-1
100155	-1	-1	-1
108247	12	17	37
111653	1433	2083	128
113731	9575	-1	9573
120560	-1	-1	-1
121057	-1	-1	-1
124182	609	137	873
125013	1083	95	1030
129354	-1	-1	-1
133731	1580	5873	991
141492	5	5	70
143171	-1	-1	-1
150249	-1	-1	-1
152142	606	280	1263
153044	11	22	10
153912	7	57	13
161282	2718	1901	2151
165689	4322	4627	-1
167590	2	40	3
172388	9031	2633	8630
178744	4278	-1	1069
185043	4662	-1	5193
185113	123	143	78
186291	76	220	113
194175	32	259	2
195808	-1	-1	-1
201096	1	1	1
201718	-1	-1	-1
202129	118	124	64
215448	238	238	485
217126	218	195	303
224132	255	255	255
224183	-1	-1	-1
228506	16	21	13
228641	153	153	136
232773	2843	328	2516
233941	597	15	4421
239695	127	119	127
239940	1338	-1	1297
243147	19	19	19
243284	-1	-1	-1
244431	1065	927	7743
246635	12	3	11
248659	1	1	1
249549	-1	-1	-1
251356	5472	6316	5432
251824	-1	-1	-1
252415	4	2	137
252591	6726	-1	3609
252779	30	23	28
255448	47	51	111
255449	2	1	2
256087	5888	5238	4434
256574	-1	-1	-1
259093	-1	-1	-1
259413	22	498	140
261100	352	2	6
261198	4058	8754	2915
262389	6397	2342	268
262511	-1	-1	-1
262877	127	20	355
263751	9563	1324	5412
263935	-1	-1	-1
264504	244	923	817
264999	3	3	3
266646	19	16	20
266831	-1	-1	-1
267358	71	72	16
267554	33	203	40
267616	8816	-1	214
267776	1216	100	1279
271139	135	-1	94
272366	155	196	231
272567	590	624	592
274364	-1	-1	-1
275308	3452	463	4482
278201	2926	2544	2618
279124	9784	-1	9783
279981	4686	4686	7785
283697	-1	-1	-1
285852	34	18	34
286221	-1	-1	-1
286406	181	68	-1
287049	557	837	394
287078	7496	-1	6498
288121	1423	1420	122
289992	-1	-1	-1
290913	56	18	70
294322	-1	-1	-1
294763	1636	1698	1636
296229	142	1660	123
296781	20	16	14
296782	2	83	2
297280	-1	-1	4634
297593	138	176	1796
297663	35	31	233
297709	-1	-1	-1
298066	8085	8081	-1
298520	4630	4366	4414
299127	5148	3141	5775
300901	40	42	40
301242	-1	6036	-1
303313	-1	-1	8870
303705	12	347	38
304174	292	292	260
304792	69	14	168
304927	64	156	213
305255	5	7	22
306392	228	88	240
306646	86	96	442
306970	1	1	1
308978	4	13	3
309977	169	201	186
311603	103	103	45
314354	-1	-1	-1
316155	1389	1114	-1
317497	7583	2400	5207
318388	49	27	85
320916	3991	2533	4268
320983	1771	1771	-1
321385	4	11	4
321608	203	207	321
329248	284	218	1028
330057	12	17	9
331028	200	-1	29
331115	-1	-1	-1
333541	-1	-1	-1
333631	-1	-1	9247
334864	33	3	718
335132	325	335	190
335249	312	2355	414
338089	-1	-1	-1
338638	1888	1681	1940
338673	110	17	363
339000	1	1	1
340338	987	875	618
341109	2440	342	2470
342410	2986	1096	296
342858	3083	-1	3083
352785	157	72	378
354766	-1	-1	-1
358823	-1	-1	-1
362404	62	59	34
364539	1182	1182	2486
369319	-1	-1	-1
370952	2701	2392	2201
372973	183	19	144
374920	22	17	22
377318	2	3	501
378068	184	258	232
383491	379	106	659
387536	15	10	198
388342	163	208	159
390546	396	353	142
391389	132	2492	27
393932	-1	-1	-1
394296	-1	-1	-1
395919	5740	6068	2884
396823	16	15	16
397842	29	26	25
398648	-1	-1	-1
401418	236	236	236
408072	9320	-1	9139
411641	1456	1089	-1
416016	1986	2296	2802
416401	14	99	4
416998	1	1	1
419692	131	14	252
421383	-1	986	-1
421506	-1	3338	2928
422506	300	237	530
422792	1847	1847	1847
425109	51	49	42
427227	1	1	1
432125	770	748	1541
432781	890	777	536
434269	160	76	163
434791	3902	-1	-1
437398	9531	9424	8315
437847	756	469	2944
440930	147	377	274
442614	3063	4256	-1
443410	7353	7047	8050
460799	6032	2810	4675
462948	2437	1017	4277
465521	5293	7813	3226
466252	2	1	8
491756	40	162	275
492173	-1	-1	-1
