StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.25 | 
System: eclipse.jdt.ui

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9517	2155	148	1545
12044	-1	-1	-1
13243	2902	2088	2046
13916	213	213	15
13921	-1	-1	-1
14837	4137	4611	3453
17317	-1	-1	-1
22655	-1	-1	-1
24082	296	398	124
24271	-1	-1	-1
27194	290	290	290
28277	4178	3970	8200
28698	3494	3494	3494
30412	2842	2568	7971
31300	2	1	2
36427	47	45	23
38499	-1	-1	-1
41688	-1	-1	-1
42208	-1	-1	-1
43103	-1	-1	-1
45349	2133	2133	2133
46875	8911	9978	-1
47097	-1	-1	-1
47731	266	266	266
49352	-1	-1	-1
49619	-1	-1	-1
51093	147	150	9639
51187	-1	-1	-1
52750	-1	-1	-1
52801	-1	-1	-1
53603	1427	126	1427
55349	7015	842	7015
58098	-1	5432	-1
62878	-1	-1	-1
63400	-1	-1	-1
63675	-1	-1	-1
64108	-1	6547	-1
66646	4	4	25
67274	322	273	939
68586	701	697	1066
70005	-1	2241	-1
70079	4818	4818	4818
75843	1368	4031	-1
77193	1159	1159	1159
79793	-1	4225	1
80455	327	136	166
81172	110	110	869
82839	-1	-1	4930
84724	384	3	382
88195	3360	3685	2619
88397	847	144	6
91306	5049	5308	5049
99330	-1	-1	-1
100155	-1	-1	-1
108247	12	31	61
111653	1433	-1	122
113731	9575	-1	-1
120560	-1	-1	-1
121057	-1	-1	-1
124182	609	137	135
125013	1083	95	1030
129354	-1	-1	-1
133731	1580	1620	944
141492	5	5	81
143171	-1	-1	-1
150249	-1	-1	-1
152142	606	247	2619
153044	11	23	20
153912	7	54	7
161282	2718	404	2247
165689	4322	4596	-1
167590	2	40	2
172388	9031	-1	9336
178744	4278	4749	1421
185043	4662	-1	3949
185113	123	153	203
186291	76	198	203
194175	32	32	5
195808	-1	-1	-1
201096	1	1	1
201718	-1	-1	-1
202129	118	24	120
215448	238	238	261
217126	218	238	240
224132	255	255	255
224183	-1	-1	-1
228506	16	18	58
228641	153	153	136
232773	2843	304	2762
233941	597	15	391
239695	127	26	165
239940	1338	-1	1431
243147	19	19	19
243284	-1	-1	-1
244431	1065	1638	910
246635	12	3	7
248659	1	1	1
249549	-1	-1	-1
251356	5472	3566	195
251824	-1	-1	-1
252415	4	8	77
252591	6726	2318	8581
252779	30	26	61
255448	47	51	90
255449	2	1	2
256087	5888	3741	7359
256574	-1	-1	-1
259093	-1	-1	-1
259413	22	9	1333
261100	352	23	6
261198	4058	3411	2534
262389	6397	2342	293
262511	-1	-1	-1
262877	127	47	168
263751	9563	1324	-1
263935	-1	-1	5390
264504	244	354	1697
264999	3	3	3
266646	19	16	20
266831	-1	-1	-1
267358	71	16	24
267554	33	4056	47
267616	8816	8246	-1
267776	1216	675	1279
271139	135	2858	237
272366	155	210	204
272567	590	590	722
274364	-1	-1	-1
275308	3452	415	4438
278201	2926	2568	1676
279124	9784	9603	7036
279981	4686	4686	7785
283697	-1	-1	-1
285852	34	4	26
286221	-1	-1	-1
286406	181	93	-1
287049	557	452	496
287078	7496	-1	6486
288121	1423	1395	43
289992	-1	-1	-1
290913	56	70	69
294322	-1	-1	-1
294763	1636	1645	1509
296229	142	1230	122
296781	20	16	14
296782	2	73	2
297280	-1	-1	2147
297593	138	93	6644
297663	35	2	162
297709	-1	-1	-1
298066	8085	8326	-1
298520	4630	5032	6596
299127	5148	3375	-1
300901	40	42	39
301242	-1	-1	-1
303313	-1	7775	-1
303705	12	42	38
304174	292	295	250
304792	69	14	168
304927	64	83	213
305255	5	4	3
306392	228	164	229
306646	86	96	310
306970	1	1	1
308978	4	6	3
309977	169	444	203
311603	103	68	261
314354	-1	-1	-1
316155	1389	190	-1
317497	7583	2153	4292
318388	49	13	59
320916	3991	3991	2771
320983	1771	1979	-1
321385	4	4	4
321608	203	223	321
329248	284	218	1050
330057	12	23	15
331028	200	-1	25
331115	-1	-1	-1
333541	-1	-1	-1
333631	-1	-1	-1
334864	33	3	691
335132	325	370	1501
335249	312	2355	298
338089	-1	-1	-1
338638	1888	-1	236
338673	110	10	509
339000	1	1	1
340338	987	41	618
341109	2440	2861	1267
342410	2986	1	287
342858	3083	-1	3015
352785	157	51	157
354766	-1	-1	-1
358823	-1	-1	-1
362404	62	59	30
364539	1182	1182	2152
369319	-1	-1	-1
370952	2701	2199	9069
372973	183	94	106
374920	22	17	22
377318	2	2	203
378068	184	206	232
383491	379	130	659
387536	15	21	117
388342	163	375	32
390546	396	6682	27
391389	132	591	368
393932	-1	-1	-1
394296	-1	-1	-1
395919	5740	5525	5098
396823	16	21	17
397842	29	29	25
398648	-1	-1	-1
401418	236	236	236
408072	9320	-1	9357
411641	1456	560	1198
416016	1986	1847	2430
416401	14	65	15
416998	1	1	2
419692	131	14	165
421383	-1	1327	-1
421506	-1	7958	3003
422506	300	2840	70
422792	1847	1847	1847
425109	51	55	42
427227	1	1	1
432125	770	795	890
432781	890	730	6
434269	160	1061	162
434791	3902	9602	-1
437398	9531	9523	8641
437847	756	449	984
440930	147	382	104
442614	3063	3350	9539
443410	7353	7545	8513
460799	6032	859	4675
462948	2437	1291	4251
465521	5293	-1	4216
466252	2	1	8
491756	40	1157	95
492173	-1	-1	-1
