StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.5 | 
System: eclipse.jdt.ui

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9517	2155	2500	2766
12044	-1	-1	-1
13243	2902	2788	2902
13916	213	213	222
13921	-1	-1	-1
14837	4137	5553	4142
17317	-1	-1	-1
22655	-1	-1	-1
24082	296	415	1784
24271	-1	-1	-1
27194	290	290	290
28277	4178	4215	9086
28698	3494	3494	3494
30412	2842	415	3025
31300	2	3	2
36427	47	39	26
38499	-1	-1	-1
41688	-1	-1	-1
42208	-1	-1	-1
43103	-1	-1	-1
45349	2133	2133	2133
46875	8911	-1	-1
47097	-1	-1	-1
47731	266	266	266
49352	-1	-1	-1
49619	-1	-1	-1
51093	147	124	147
51187	-1	-1	-1
52750	-1	-1	-1
52801	-1	-1	-1
53603	1427	150	1427
55349	7015	1223	7015
58098	-1	-1	-1
62878	-1	-1	-1
63400	-1	-1	-1
63675	-1	-1	-1
64108	-1	6796	-1
66646	4	4	3884
67274	322	2679	322
68586	701	3228	1236
70005	-1	-1	-1
70079	4818	4818	4818
75843	1368	2693	3270
77193	1159	1159	1159
79793	-1	440	1
80455	327	137	116
81172	110	190	805
82839	-1	-1	4930
84724	384	1	322
88195	3360	3666	3273
88397	847	41	40
91306	5049	5308	5049
99330	-1	-1	-1
100155	-1	-1	-1
108247	12	12	12
111653	1433	1495	186
113731	9575	-1	9573
120560	-1	-1	-1
121057	-1	-1	-1
124182	609	986	132
125013	1083	1916	1030
129354	-1	-1	-1
133731	1580	4117	1580
141492	5	56	6
143171	-1	-1	-1
150249	-1	-1	-1
152142	606	683	1167
153044	11	22	10
153912	7	58	13
161282	2718	1420	741
165689	4322	4322	-1
167590	2	40	3
172388	9031	9878	-1
178744	4278	3888	1597
185043	4662	-1	4322
185113	123	128	250
186291	76	130	1078
194175	32	237	32
195808	-1	-1	-1
201096	1	1	5
201718	-1	-1	-1
202129	118	97	33
215448	238	238	236
217126	218	195	218
224132	255	255	255
224183	-1	-1	-1
228506	16	25	22
228641	153	61	153
232773	2843	305	3474
233941	597	15	597
239695	127	69	127
239940	1338	-1	1619
243147	19	19	19
243284	-1	-1	-1
244431	1065	631	910
246635	12	53	11
248659	1	1	1
249549	-1	-1	-1
251356	5472	4702	5433
251824	-1	-1	-1
252415	4	5	62
252591	6726	9587	6726
252779	30	21	30
255448	47	37	112
255449	2	1	2
256087	5888	4688	3598
256574	-1	-1	-1
259093	-1	-1	-1
259413	22	15	584
261100	352	348	6
261198	4058	1657	3634
262389	6397	4558	1191
262511	-1	-1	-1
262877	127	21	168
263751	9563	1324	9564
263935	-1	-1	7006
264504	244	1201	244
264999	3	20	3
266646	19	16	20
266831	-1	-1	-1
267358	71	24	16
267554	33	29	27
267616	8816	9086	8816
267776	1216	1046	689
271139	135	7561	94
272366	155	207	231
272567	590	635	590
274364	-1	-1	-1
275308	3452	891	4438
278201	2926	2747	3014
279124	9784	988	9776
279981	4686	4505	7522
283697	-1	-1	-1
285852	34	34	34
286221	-1	-1	-1
286406	181	604	2955
287049	557	585	3847
287078	7496	-1	6796
288121	1423	2067	241
289992	-1	-1	-1
290913	56	56	69
294322	-1	-1	-1
294763	1636	1636	1797
296229	142	95	117
296781	20	14	20
296782	2	2	2
297280	-1	-1	4634
297593	138	121	2092
297663	35	23	162
297709	-1	-1	-1
298066	8085	-1	8408
298520	4630	4620	4276
299127	5148	4978	5159
300901	40	47	150
301242	-1	8480	-1
303313	-1	-1	8350
303705	12	329	46
304174	292	250	260
304792	69	71	76
304927	64	96	277
305255	5	7	5
306392	228	240	228
306646	86	122	467
306970	1	1	1
308978	4	4	3
309977	169	250	284
311603	103	68	261
314354	-1	-1	-1
316155	1389	1301	3142
317497	7583	6271	7928
318388	49	14	95
320916	3991	4194	3991
320983	1771	1771	8670
321385	4	4	4
321608	203	223	132
329248	284	1379	84
330057	12	12	75
331028	200	-1	384
331115	-1	-1	-1
333541	-1	-1	-1
333631	-1	-1	8862
334864	33	254	144
335132	325	308	353
335249	312	2355	337
338089	-1	-1	-1
338638	1888	1514	1978
338673	110	53	166
339000	1	1	1
340338	987	1711	467
341109	2440	872	3974
342410	2986	4	3039
342858	3083	2356	-1
352785	157	669	380
354766	-1	-1	-1
358823	-1	-1	-1
362404	62	78	26
364539	1182	1182	2804
369319	-1	-1	-1
370952	2701	1329	2404
372973	183	27	173
374920	22	17	22
377318	2	2	484
378068	184	251	184
383491	379	364	830
387536	15	22	198
388342	163	543	153
390546	396	412	217
391389	132	299	421
393932	-1	-1	-1
394296	-1	-1	-1
395919	5740	5698	4541
396823	16	15	16
397842	29	31	24
398648	-1	-1	-1
401418	236	236	236
408072	9320	-1	9139
411641	1456	1089	1430
416016	1986	3179	2802
416401	14	68	14
416998	1	2	2
419692	131	14	131
421383	-1	841	-1
421506	-1	4892	3356
422506	300	3956	108
422792	1847	1847	1847
425109	51	29	44
427227	1	1	1
432125	770	403	874
432781	890	15	750
434269	160	177	165
434791	3902	6094	-1
437398	9531	9424	9531
437847	756	738	9391
440930	147	147	438
442614	3063	-1	9537
443410	7353	7540	9982
460799	6032	2646	6124
462948	2437	1017	-1
465521	5293	5456	-1
466252	2	2	8
491756	40	968	95
492173	-1	-1	-1
