StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.15 | 
System: eclipse.jdt.ui

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9517	2155	138	2215
12044	-1	-1	-1
13243	2902	1983	1975
13916	213	228	208
13921	-1	-1	-1
14837	4137	4204	4075
17317	-1	-1	-1
22655	-1	-1	-1
24082	296	430	340
24271	-1	-1	-1
27194	290	290	290
28277	4178	3931	8200
28698	3494	3494	3494
30412	2842	888	8250
31300	2	1	2
36427	47	39	24
38499	-1	-1	-1
41688	-1	-1	-1
42208	-1	-1	-1
43103	-1	-1	-1
45349	2133	2133	2133
46875	8911	7647	-1
47097	-1	-1	-1
47731	266	266	266
49352	-1	-1	-1
49619	-1	-1	-1
51093	147	150	131
51187	-1	-1	-1
52750	-1	-1	-1
52801	-1	-1	-1
53603	1427	126	1427
55349	7015	842	6380
58098	-1	-1	-1
62878	-1	-1	-1
63400	-1	-1	-1
63675	-1	-1	-1
64108	-1	9149	-1
66646	4	4	9
67274	322	322	1995
68586	701	749	2928
70005	-1	-1	-1
70079	4818	4818	4818
75843	1368	3567	2174
77193	1159	1159	1159
79793	-1	199	1
80455	327	136	168
81172	110	83	843
82839	-1	-1	-1
84724	384	759	218
88195	3360	3685	3360
88397	847	144	16
91306	5049	6251	5308
99330	-1	-1	-1
100155	-1	-1	-1
108247	12	30	37
111653	1433	992	103
113731	9575	-1	9603
120560	-1	-1	-1
121057	-1	-1	-1
124182	609	123	873
125013	1083	95	937
129354	-1	-1	-1
133731	1580	5050	871
141492	5	6	16
143171	-1	-1	-1
150249	-1	-1	-1
152142	606	369	2183
153044	11	23	21
153912	7	46	7
161282	2718	424	-1
165689	4322	4596	4386
167590	2	1	40
172388	9031	-1	9764
178744	4278	2007	1535
185043	4662	5561	-1
185113	123	131	250
186291	76	165	364
194175	32	32	5
195808	-1	-1	-1
201096	1	5	1
201718	-1	-1	-1
202129	118	86	120
215448	238	238	261
217126	218	229	320
224132	255	280	255
224183	-1	-1	-1
228506	16	16	54
228641	153	137	93
232773	2843	152	3288
233941	597	520	636
239695	127	25	165
239940	1338	-1	1330
243147	19	19	19
243284	-1	-1	-1
244431	1065	921	3202
246635	12	23	3
248659	1	1	1
249549	-1	-1	-1
251356	5472	5262	37
251824	-1	-1	-1
252415	4	11	67
252591	6726	6719	2835
252779	30	70	62
255448	47	51	54
255449	2	1	2
256087	5888	4164	-1
256574	-1	-1	-1
259093	-1	-1	-1
259413	22	6	1333
261100	352	233	6
261198	4058	2686	3254
262389	6397	1864	473
262511	-1	-1	-1
262877	127	32	168
263751	9563	1324	-1
263935	-1	6208	-1
264504	244	354	1638
264999	3	3	3
266646	19	17	22
266831	-1	-1	-1
267358	71	42	6
267554	33	677	49
267616	8816	8246	564
267776	1216	188	1279
271139	135	179	4366
272366	155	210	191
272567	590	625	724
274364	-1	-1	-1
275308	3452	380	3304
278201	2926	2544	1676
279124	9784	-1	2029
279981	4686	4688	5091
283697	-1	-1	-1
285852	34	16	26
286221	-1	-1	-1
286406	181	22	-1
287049	557	493	434
287078	7496	-1	6904
288121	1423	677	7
289992	-1	-1	-1
290913	56	18	69
294322	-1	-1	-1
294763	1636	1645	1317
296229	142	39	1672
296781	20	16	14
296782	2	75	2
297280	-1	-1	2218
297593	138	93	2020
297663	35	1	1835
297709	-1	-1	-1
298066	8085	8653	8807
298520	4630	5032	4397
299127	5148	3680	-1
300901	40	39	42
301242	-1	-1	-1
303313	-1	9704	-1
303705	12	4	504
304174	292	241	250
304792	69	14	168
304927	64	83	181
305255	5	2	4
306392	228	164	284
306646	86	96	310
306970	1	1	1
308978	4	3	4
309977	169	478	265
311603	103	68	261
314354	-1	-1	-1
316155	1389	-1	-1
317497	7583	2591	654
318388	49	35	80
320916	3991	3765	2585
320983	1771	1858	-1
321385	4	4	4
321608	203	203	311
329248	284	218	1353
330057	12	23	19
331028	200	-1	43
331115	-1	-1	-1
333541	-1	-1	-1
333631	-1	-1	-1
334864	33	3	691
335132	325	408	184
335249	312	1572	640
338089	-1	-1	-1
338638	1888	-1	1843
338673	110	8	793
339000	1	1	1
340338	987	875	301
341109	2440	178	928
342410	2986	294	291
342858	3083	2186	2628
352785	157	52	157
354766	-1	-1	-1
358823	-1	-1	-1
362404	62	83	13
364539	1182	1178	2152
369319	-1	-1	-1
370952	2701	1231	8984
372973	183	186	166
374920	22	9	2
377318	2	1	2
378068	184	101	337
383491	379	130	360
387536	15	41	244
388342	163	289	28
390546	396	8501	41
391389	132	2096	58
393932	-1	-1	-1
394296	-1	-1	-1
395919	5740	3023	5353
396823	16	22	17
397842	29	29	26
398648	-1	-1	-1
401418	236	236	236
408072	9320	-1	8787
411641	1456	987	1193
416016	1986	398	2430
416401	14	12	55
416998	1	1	2
419692	131	131	113
421383	-1	1159	-1
421506	-1	7877	3063
422506	300	309	33
422792	1847	1847	1847
425109	51	55	39
427227	1	1	1
432125	770	795	265
432781	890	874	6
434269	160	219	34
434791	3902	-1	-1
437398	9531	9525	8223
437847	756	449	3737
440930	147	229	104
442614	3063	2120	-1
443410	7353	7477	7528
460799	6032	859	5826
462948	2437	2250	5372
465521	5293	7791	5833
466252	2	1	4
491756	40	532	92
492173	-1	-1	-1
