StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.45 | 
System: eclipse.jdt.ui

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9517	2155	63	2673
12044	-1	-1	-1
13243	2902	1697	1975
13916	213	213	222
13921	-1	-1	-1
14837	4137	5941	4142
17317	-1	-1	-1
22655	-1	-1	-1
24082	296	415	307
24271	-1	-1	-1
27194	290	290	290
28277	4178	4215	9086
28698	3494	3494	3494
30412	2842	3029	2554
31300	2	2	2
36427	47	45	21
38499	-1	-1	-1
41688	-1	-1	-1
42208	-1	-1	-1
43103	-1	-1	-1
45349	2133	2133	2133
46875	8911	-1	8953
47097	-1	-1	-1
47731	266	266	266
49352	-1	-1	-1
49619	-1	-1	-1
51093	147	122	147
51187	-1	-1	-1
52750	-1	-1	-1
52801	-1	-1	-1
53603	1427	150	115
55349	7015	3973	7046
58098	-1	4852	-1
62878	-1	-1	-1
63400	-1	-1	-1
63675	-1	-1	-1
64108	-1	6796	-1
66646	4	4	270
67274	322	1560	322
68586	701	701	1197
70005	-1	-1	-1
70079	4818	4818	4818
75843	1368	4310	4308
77193	1159	1159	1159
79793	-1	393	1
80455	327	142	306
81172	110	110	843
82839	-1	-1	4930
84724	384	1	322
88195	3360	3666	2587
88397	847	292	17
91306	5049	5308	5049
99330	-1	-1	-1
100155	-1	-1	-1
108247	12	17	37
111653	1433	1495	186
113731	9575	9575	9573
120560	-1	-1	-1
121057	-1	-1	-1
124182	609	174	96
125013	1083	32	1030
129354	-1	-1	-1
133731	1580	4117	1907
141492	5	5	70
143171	-1	-1	-1
150249	-1	-1	-1
152142	606	683	1167
153044	11	11	21
153912	7	58	13
161282	2718	1607	2718
165689	4322	4183	-1
167590	2	40	3
172388	9031	-1	-1
178744	4278	4749	884
185043	4662	-1	5193
185113	123	132	250
186291	76	78	602
194175	32	263	3
195808	-1	-1	-1
201096	1	1	4
201718	-1	-1	-1
202129	118	135	30
215448	238	238	261
217126	218	177	218
224132	255	255	255
224183	-1	-1	-1
228506	16	15	108
228641	153	52	159
232773	2843	305	2843
233941	597	12	556
239695	127	148	127
239940	1338	-1	1554
243147	19	19	19
243284	-1	-1	-1
244431	1065	631	910
246635	12	53	7
248659	1	1	1
249549	-1	-1	-1
251356	5472	4702	5433
251824	-1	-1	-1
252415	4	6	203
252591	6726	9587	6726
252779	30	21	30
255448	47	51	44
255449	2	2	2
256087	5888	4688	6519
256574	-1	-1	-1
259093	-1	-1	-1
259413	22	15	584
261100	352	352	6
261198	4058	3869	3634
262389	6397	4558	888
262511	-1	-1	-1
262877	127	47	168
263751	9563	1324	7088
263935	-1	-1	5604
264504	244	779	817
264999	3	3	3
266646	19	16	20
266831	-1	-1	-1
267358	71	72	16
267554	33	637	23
267616	8816	9864	8816
267776	1216	4271	1216
271139	135	7557	94
272366	155	196	231
272567	590	590	694
274364	-1	-1	-1
275308	3452	421	4438
278201	2926	2747	3014
279124	9784	1465	-1
279981	4686	4505	-1
283697	-1	-1	-1
285852	34	34	26
286221	-1	-1	-1
286406	181	630	2955
287049	557	819	395
287078	7496	-1	6709
288121	1423	1867	42
289992	-1	-1	-1
290913	56	18	69
294322	-1	-1	-1
294763	1636	1636	1797
296229	142	95	117
296781	20	16	14
296782	2	2	2
297280	-1	1709	-1
297593	138	176	1796
297663	35	14	162
297709	-1	-1	-1
298066	8085	-1	9300
298520	4630	4322	5687
299127	5148	-1	4560
300901	40	40	141
301242	-1	-1	-1
303313	-1	-1	-1
303705	12	10	46
304174	292	293	292
304792	69	71	240
304927	64	96	108
305255	5	17	74
306392	228	240	228
306646	86	4179	421
306970	1	1	1
308978	4	4	3
309977	169	126	284
311603	103	103	859
314354	-1	-1	-1
316155	1389	1301	641
317497	7583	3523	9836
318388	49	14	95
320916	3991	3765	4385
320983	1771	1771	8670
321385	4	4	4
321608	203	253	119
329248	284	1595	84
330057	12	19	63
331028	200	-1	384
331115	-1	-1	-1
333541	-1	-1	-1
333631	-1	-1	9247
334864	33	3	1746
335132	325	90	365
335249	312	2355	414
338089	-1	-1	-1
338638	1888	-1	1625
338673	110	426	166
339000	1	1	1
340338	987	875	142
341109	2440	350	3974
342410	2986	4	284
342858	3083	1960	-1
352785	157	52	290
354766	-1	-1	-1
358823	-1	-1	-1
362404	62	27	23
364539	1182	1182	1005
369319	-1	-1	-1
370952	2701	2199	2404
372973	183	6	173
374920	22	22	22
377318	2	5	203
378068	184	313	184
383491	379	401	808
387536	15	11	198
388342	163	484	55
390546	396	966	200
391389	132	4198	421
393932	-1	-1	-1
394296	-1	-1	-1
395919	5740	5484	3090
396823	16	15	16
397842	29	31	30
398648	-1	-1	-1
401418	236	236	236
408072	9320	-1	9139
411641	1456	714	1430
416016	1986	2296	2802
416401	14	106	14
416998	1	2	2
419692	131	14	173
421383	-1	857	-1
421506	-1	3338	2928
422506	300	3956	118
422792	1847	1847	1847
425109	51	45	42
427227	1	1	1
432125	770	405	855
432781	890	36	402
434269	160	177	162
434791	3902	6123	-1
437398	9531	9424	9312
437847	756	432	2996
440930	147	377	145
442614	3063	-1	9537
443410	7353	7472	-1
460799	6032	5808	6124
462948	2437	1017	-1
465521	5293	-1	-1
466252	2	2	8
491756	40	3335	23
492173	-1	-1	-1
