StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.1 | 
System: ecf

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
90428	3680	2419	906
125572	5	60	4
134483	16	11	10
165815	-1	-1	-1
172958	1	1	1
192574	8	13	8
196007	766	690	805
198043	369	369	300
198334	111	155	92
198731	362	198	290
199259	-1	-1	-1
199309	3518	1143	3146
204329	509	665	451
205532	107	70	107
208667	3	4	1
221053	1420	5390	122
222824	1	1	1
222868	76	78	75
233808	-1	-1	-1
238970	-1	-1	-1
242950	2	2	1
250717	617	388	211
254833	1	1	2
255329	223	470	49
255347	36	69	57
255352	9	72	13
257926	2	2	1
258488	913	108	1082
259233	177	177	177
259389	73	155	83
265551	582	584	30
266120	19	178	255
267481	14	23	25
270332	4	91	5
273135	67	100	14
282667	88	122	90
296107	-1	-1	-1
302394	3	1	21
302407	425	490	1
314558	92	92	76
316595	204	193	99
318075	170	170	170
327029	38	913	19
327060	1063	925	-1
327379	3	3	1
327582	43	43	43
328772	5	4	1
328998	-1	-1	-1
328999	-1	-1	-1
329054	-1	-1	-1
331740	22	22	22
332852	2	1	2
337345	3453	1689	1564
337643	638	234	775
342002	-1	-1	-1
342352	1	1	5
342782	5	5	5
369023	9	2	3
371768	4	4	4
406064	-1	-1	-1
408030	261	72	6
414448	-1	-1	-1
419902	-1	-1	-1
420433	52	34	135
426497	6	48	6
464701	1179	825	3537
471541	-1	-1	-1
485482	22	82	5
