StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.5 | 
System: eclipse.jdt.debug

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9122	-1	-1	-1
9649	-1	-1	-1
10096	2202	1372	2202
10811	10	43	10
10817	-1	-1	-1
12640	26	13	10
12665	1011	-1	1533
13015	891	891	891
13364	85	85	85
13957	-1	-1	-1
18306	677	677	482
21776	20	4	15
21823	1054	992	970
22815	99	99	99
23328	6739	801	448
24839	2458	2351	2458
27989	89	2438	87
28195	7799	7810	2813
29036	1042	2529	803
29297	67	83	25
29683	238	238	354
30837	1031	1125	795
31110	2323	2356	2701
33534	-1	-1	-1
33893	450	558	450
34670	1667	1727	569
37918	-1	-1	-1
37942	402	405	380
40707	289	279	415
42984	-1	1820	-1
43418	1155	735	37
49068	8	11	9
49077	31	31	31
53115	38	167	61
53634	239	239	236
53929	145	115	145
53952	7226	6800	5640
53959	299	366	386
57257	-1	-1	-1
64984	-1	-1	-1
72169	14	12	6
76675	698	449	-1
85665	1347	1213	1289
86887	-1	-1	-1
90805	154	344	679
94047	1042	708	2073
94452	248	263	248
94474	-1	-1	-1
102427	50	69	80
105573	871	6014	630
108473	3655	3676	3624
112670	-1	-1	-1
120651	62	99	46
125771	4349	4821	4349
144253	1515	1515	1017
161364	3271	3571	1722
165174	2666	3096	2674
171075	2289	3397	16
183206	10	16	19
184862	1843	3203	1992
197011	256	2388	262
204455	314	841	267
206693	-1	-1	-1
208744	327	-1	439
212442	40	40	62
217994	9	20	8
241394	24	17	268
255031	-1	-1	-1
275614	18	119	8
297808	2035	952	642
323020	3413	3413	3413
335363	554	590	320
339414	1	1	1
343039	189	534	162
371300	7	1	33
396795	48	97	44
400636	1698	1792	1481
401815	2318	290	2176
421806	157	125	3012
422016	87	115	596
428862	146	171	146
432190	1	1	1
455199	585	562	585
463252	3008	2991	3007
