StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.3 | 
System: eclipse.jdt.debug

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9122	-1	-1	-1
9649	-1	-1	-1
10096	2202	1492	3382
10811	10	4	54
10817	-1	-1	-1
12640	26	8	28
12665	1011	1260	-1
13015	891	891	891
13364	85	85	85
13957	-1	-1	-1
18306	677	910	310
21776	20	1	13
21823	1054	965	1014
22815	99	99	99
23328	6739	-1	6776
24839	2458	167	1519
27989	89	862	153
28195	7799	9526	3383
29036	1042	929	843
29297	67	49	210
29683	238	233	383
30837	1031	1165	1438
31110	2323	2804	2169
33534	-1	-1	-1
33893	450	462	428
34670	1667	1763	1816
37918	-1	-1	-1
37942	402	425	196
40707	289	311	419
42984	-1	2297	-1
43418	1155	31	1272
49068	8	18	9
49077	31	31	31
53115	38	202	46
53634	239	171	225
53929	145	94	162
53952	7226	6580	8690
53959	299	319	287
57257	-1	-1	-1
64984	-1	-1	-1
72169	14	379	6
76675	698	698	-1
85665	1347	1297	1205
86887	-1	-1	-1
90805	154	154	628
94047	1042	417	2484
94452	248	253	270
94474	-1	-1	-1
102427	50	917	40
105573	871	4328	1172
108473	3655	3568	3634
112670	-1	-1	-1
120651	62	99	58
125771	4349	5212	4349
144253	1515	1018	553
161364	3271	1448	2414
165174	2666	130	-1
171075	2289	2099	20
183206	10	16	8
184862	1843	3936	1707
197011	256	2386	256
204455	314	283	351
206693	-1	-1	-1
208744	327	4557	439
212442	40	421	35
217994	9	9	24
241394	24	24	230
255031	-1	-1	75
275614	18	156	1
297808	2035	506	81
323020	3413	3413	3413
335363	554	878	237
339414	1	1	1
343039	189	534	2328
371300	7	8	53
396795	48	133	38
400636	1698	1792	1591
401815	2318	161	2217
421806	157	176	1029
422016	87	43	941
428862	146	95	3926
432190	1	1	1
455199	585	651	-1
463252	3008	4016	2996
