StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.2 | 
System: eclipse.jdt.debug

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9122	-1	-1	-1
9649	-1	-1	-1
10096	2202	1699	3382
10811	10	424	54
10817	-1	-1	-1
12640	26	8	43
12665	1011	1060	-1
13015	891	891	892
13364	85	85	85
13957	-1	-1	-1
18306	677	851	206
21776	20	4	11
21823	1054	992	1014
22815	99	99	99
23328	6739	5808	6919
24839	2458	1729	1443
27989	89	862	83
28195	7799	2801	7864
29036	1042	859	843
29297	67	33	164
29683	238	184	353
30837	1031	659	858
31110	2323	2328	2034
33534	-1	-1	-1
33893	450	462	450
34670	1667	5356	558
37918	-1	-1	-1
37942	402	487	175
40707	289	275	891
42984	-1	1883	-1
43418	1155	42	37
49068	8	18	9
49077	31	31	31
53115	38	201	56
53634	239	220	236
53929	145	94	281
53952	7226	1116	9781
53959	299	400	287
57257	-1	-1	-1
64984	-1	-1	-1
72169	14	580	4
76675	698	-1	442
85665	1347	1297	1365
86887	-1	-1	-1
90805	154	153	628
94047	1042	417	2484
94452	248	253	258
94474	-1	-1	-1
102427	50	23	5871
105573	871	7083	1301
108473	3655	3682	1613
112670	-1	-1	1279
120651	62	89	74
125771	4349	5212	4349
144253	1515	1018	764
161364	3271	2274	2906
165174	2666	72	-1
171075	2289	2934	20
183206	10	13	7
184862	1843	3634	1575
197011	256	253	310
204455	314	519	430
206693	-1	-1	-1
208744	327	-1	312
212442	40	1731	72
217994	9	27	320
241394	24	24	220
255031	-1	-1	35
275614	18	24	4
297808	2035	81	83
323020	3413	3413	3413
335363	554	240	388
339414	1	1	1
343039	189	155	-1
371300	7	2	71
396795	48	133	38
400636	1698	1792	1481
401815	2318	1097	1086
421806	157	108	3012
422016	87	46	853
428862	146	106	3739
432190	1	1	1
455199	585	639	-1
463252	3008	3008	3012
