StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.4 | 
System: eclipse.jdt.debug

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9122	-1	-1	-1
9649	-1	-1	-1
10096	2202	1451	2101
10811	10	10	54
10817	-1	-1	-1
12640	26	8	26
12665	1011	-1	1533
13015	891	891	891
13364	85	85	85
13957	-1	-1	-1
18306	677	704	652
21776	20	8	25
21823	1054	992	970
22815	99	99	99
23328	6739	-1	6776
24839	2458	1133	583
27989	89	2152	89
28195	7799	-1	2831
29036	1042	968	882
29297	67	52	118
29683	238	356	398
30837	1031	1165	737
31110	2323	2122	2323
33534	-1	-1	-1
33893	450	558	428
34670	1667	74	1759
37918	-1	-1	-1
37942	402	397	175
40707	289	274	419
42984	-1	-1	-1
43418	1155	29	622
49068	8	8	10
49077	31	31	31
53115	38	179	56
53634	239	210	169
53929	145	90	847
53952	7226	6134	5640
53959	299	251	386
57257	-1	-1	-1
64984	-1	-1	-1
72169	14	330	6
76675	698	442	-1
85665	1347	1297	1205
86887	-1	-1	-1
90805	154	125	1508
94047	1042	1062	1193
94452	248	324	248
94474	-1	-1	-1
102427	50	23	89
105573	871	2350	3349
108473	3655	3676	3624
112670	-1	-1	-1
120651	62	90	164
125771	4349	4854	4349
144253	1515	949	1442
161364	3271	2434	2917
165174	2666	2304	-1
171075	2289	1673	243
183206	10	15	8
184862	1843	3369	4049
197011	256	2317	256
204455	314	287	609
206693	-1	-1	-1
208744	327	-1	313
212442	40	408	66
217994	9	59	24
241394	24	20	234
255031	-1	-1	46
275614	18	144	3
297808	2035	966	642
323020	3413	3413	3413
335363	554	878	327
339414	1	1	1
343039	189	500	162
371300	7	6	55
396795	48	37	70
400636	1698	1792	1481
401815	2318	217	2314
421806	157	198	1057
422016	87	18	727
428862	146	97	2793
432190	1	1	1
455199	585	585	1355
463252	3008	4015	3071
