StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.1 | 
System: eclipse.pde.ui

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
35888	-1	-1	-1
50018	99	99	888
68606	-1	-1	-1
94366	-1	-1	-1
97605	288	127	292
108466	-1	-1	-1
108954	-1	-1	-1
109003	478	103	538
113004	-1	-1	-1
113870	8354	8473	7971
116919	-1	-1	-1
118694	40	40	21
119824	-1	-1	-1
119843	501	1416	136
121622	64	64	10
125913	519	402	462
128683	374	907	2476
129817	-1	9612	9819
130424	-1	-1	-1
134311	33	125	63
138093	41	16	40
138127	1772	1772	1772
138260	17	66	29
139037	3840	3814	3052
139526	-1	-1	-1
140381	-1	-1	-1
146912	-1	-1	-1
147298	1482	304	1675
148171	579	-1	621
148687	1085	1067	3672
149816	9649	5532	8808
150081	256	102	54
150305	-1	-1	-1
150916	858	954	1534
151112	123	7	123
151502	845	746	1762
152054	-1	-1	-1
152199	232	249	284
153093	189	995	569
154493	768	815	768
154739	4419	4778	4419
155070	38	34	33
155158	1253	1253	1253
158418	52	146	113
158945	9	39	4806
163384	67	57	200
164438	29	35	236
165672	-1	-1	-1
166680	5	16	441
166984	-1	-1	-1
168417	2	20	8
170474	-1	-1	-1
170678	-1	-1	-1
171962	744	503	627
172675	437	26	3665
172721	-1	-1	-1
173072	207	200	201
173712	-1	-1	-1
175756	-1	-1	-1
179238	80	75	268
181091	762	279	61
181524	33	14	56
181883	274	338	213
181884	72	72	38
182075	5	20	7
182483	311	545	754
183073	164	88	287
183250	12	16	11
183405	5771	5917	3344
183587	-1	-1	-1
183708	399	283	201
184644	-1	-1	-1
185955	27	8	15
187228	3987	3984	3731
191231	1	10	1
197077	394	2973	142
197817	7765	-1	7664
197906	4	23	71
198961	155	155	139
198965	1	1	192
199129	63	63	62
199896	560	732	1
201044	129	111	122
201304	28	7	23
201306	1	12	5
201369	-1	-1	-1
201880	24	9	82
201966	551	170	508
202272	49	79	539
203126	142	146	83
203993	845	7136	484
204719	-1	-1	-1
205493	129	86	174
206610	2647	4883	1261
206887	4945	-1	4489
207836	1374	1253	1374
208164	820	1890	902
209046	25	98	201
209138	56	67	5
209554	2700	2571	2528
210018	62	142	148
210181	465	465	465
212755	-1	-1	-1
215579	346	134	393
216703	1240	1649	1207
216840	52	44	5
216946	1	1	1
217772	23	23	23
218223	5530	3830	4671
220069	2765	8255	204
220235	368	732	70
221019	-1	-1	-1
221655	244	254	794
221852	1130	974	2633
224447	-1	-1	-1
226788	1	1	1
228044	-1	-1	-1
228765	1347	434	1772
228840	9688	2066	3308
229070	456	507	358
229441	118	118	522
229584	1613	1479	1618
229624	779	779	132
229626	878	898	102
230248	1555	1953	1522
230447	160	102	194
231688	573	351	135
231977	-1	-1	-1
232463	2	112	114
232706	3462	3186	190
232771	3557	3824	1125
241503	89	-1	80
247663	2022	3027	2022
248519	273	330	412
251970	-1	-1	-1
252751	-1	-1	-1
252913	1918	1918	1918
256859	2289	3374	-1
258969	5578	5739	5570
260913	1291	1291	926
261474	-1	1254	-1
262918	167	135	156
264383	154	374	153
270549	6767	6767	5526
272107	-1	-1	-1
272641	346	557	397
272654	1119	1181	9
273049	87	86	83
274646	316	316	316
274678	20	25	20
274724	5	7	305
280286	1	1	1
280630	203	203	203
292938	122	122	122
293474	-1	-1	-1
295577	-1	-1	-1
297115	23	23	3
302928	-1	3777	-1
307149	898	479	888
308547	66	28	101
312466	2	1	3
319268	157	314	22
321624	5340	5409	135
321891	-1	-1	-1
322672	107	291	717
324773	218	252	195
342512	-1	-1	-1
367980	31	96	12
405015	-1	-1	-1
417603	-1	-1	-1
429902	146	214	63
435321	3	1885	9
436418	4032	4387	2322
443114	3	3	13
443338	1576	321	3485
461083	614	614	689
465909	2	43	4
482171	-1	-1	-1
484244	-1	-1	-1
484548	105	225	411
488805	-1	-1	-1
496382	2275	2275	2769
